"Xlong";"Ylat";"UF"
-61.213905695132;-4.05450582596473;"AM"
-68.4501799766533;-8.57334163650405;"AM"
-59.3219570687832;-6.22443119973876;"AM"
-64.2919548620051;-5.32468539599795;"AM"
-63.8718784981268;-4.61680899973027;"AM"
-63.7912704149028;-4.23367888990324;"AM"
-64.056459998074;-4.28157631310634;"AM"
-72.8839574198332;-7.39420414529741;"AM"
-72.2167150863633;-7.31951570060104;"AM"
-63.0639620392351;-6.99323755466845;"AM"
-62.5779195113759;-7.82841474252753;"AM"
-60.782707643467;-2.8504288358381;"AM"
-58.8983133905102;-2.84342915395275;"AM"
-58.4543483620044;-3.45113050634507;"AM"
-58.2686683508242;-3.26245392972138;"AM"
-67.7345349426474;-2.95625339687802;"AM"
-66.8311519033229;-8.06851204182021;"AM"
-65.9508664861089;-8.85706741849892;"AM"
-65.686390898223;-9.39420171776787;"AM"
-61.0591811201908;-3.56230703273322;"AM"
-60.5726650863839;-2.16651241912041;"AM"
-60.4051606568927;-2.89237329490483;"AM"
-60.5047582521895;-2.82750743455719;"AM"
-60.4747855408164;-2.42402062190697;"AM"
-59.9149012823729;-2.68670530720148;"AM"
-59.7864231838007;-3.04854780911002;"AM"
-60.0502903867513;-2.28523172035813;"AM"
-60.2324283093959;-2.59566666789353;"AM"
-60.2588890403463;-2.63709958016407;"AM"
-60.4220194820315;-2.62848250066861;"AM"
-59.923965533725;-2.66654582155868;"AM"
-59.5103797389986;-3.02708659284283;"AM"
-60.3593574248161;-2.00216197631322;"AM"
-60.6897598637547;-2.76536509801168;"AM"
-60.1925379745569;-2.01877240354195;"AM"
-60.7300285663037;-2.61832959626801;"AM"
-60.4120146852639;-2.92802481323481;"AM"
-59.679581061108;-3.0668216691725;"AM"
-60.5895142194303;-2.99155869191978;"AM"
-60.196792023005;-2.19281100561842;"AM"
-60.1558977152966;-2.97185602493119;"AM"
-60.7004954656866;-2.40769462087192;"AM"
-60.5206729024975;-2.22928921531886;"AM"
-59.7247985935537;-3.05828491224907;"AM"
-59.8784725893568;-3.00371663470287;"AM"
-60.0496835224796;-2.97886221451685;"AM"
-60.26799389611;-2.90291009169072;"AM"
-60.1312595181819;-2.64713463376742;"AM"
-60.1399671547767;-2.1186572907446;"AM"
-60.1912889696378;-2.48331802684348;"AM"
-60.1499807246216;-3.08759197618812;"AM"
-60.1266079058778;-2.9448829135159;"AM"
-59.9861028578645;-2.64293229367118;"AM"
-59.9043497937126;-3.03337360141333;"AM"
-60.3572195430892;-2.33433552166913;"AM"
-60.196735086455;-2.15119695585221;"AM"
-60.664809141797;-2.31321601936594;"AM"
-60.6511259276513;-2.74702029961627;"AM"
-60.6474066233914;-2.43818647829816;"AM"
-59.857909742794;-3.07352074798662;"AM"
-60.5632890220545;-2.397362292693;"AM"
-60.6733210127614;-2.46060140077025;"AM"
-60.5360096162278;-3.00482518192846;"AM"
-59.9661090904707;-3.04950839298312;"AM"
-60.2366824247455;-2.86342383744661;"AM"
-60.5385207219236;-2.80550293031149;"AM"
-60.5392352762306;-2.27245336321183;"AM"
-60.2430795956682;-2.31644691598602;"AM"
-59.7925290360535;-2.97948133392725;"AM"
-60.3023857860547;-2.75884626672137;"AM"
-60.0781936445506;-3.02505056653172;"AM"
-60.1100818517758;-2.64985406458378;"AM"
-59.7849135452788;-2.93102187129669;"AM"
-60.207882183739;-3.05561699722894;"AM"
-60.6294317440689;-2.86441350910813;"AM"
-59.9617958663451;-2.79512434287928;"AM"
-60.2002854219219;-2.43258503198158;"AM"
-60.2944051487604;-2.94239259749651;"AM"
-60.3175301661063;-2.0756110496819;"AM"
-61.4804865847854;-5.00244002384134;"AM"
-58.3967712336779;-4.14821093680337;"AM"
-62.1987228026427;-2.55875988155138;"AM"
-59.9017353755608;-6.05079465671908;"AM"
-60.812262384817;-7.60230626817327;"AM"
-56.7263872868568;-2.93194715292659;"AM"
-66.7925694670389;1.03753678358626;"AM"
-67.5438816889143;-1.06229502933566;"AM"
-67.9198415431287;-0.0509693884896121;"AM"
-67.5432697588159;-1.44048651521094;"AM"
-69.4813056734996;-4.01273127487861;"AM"
-63.1862460033083;-5.00104185507633;"AM"
-64.9706248001615;-3.80670714370906;"AM"
-66.5135732088471;-5.21570544549264;"AM"
-67.5987113667699;-2.55648473007605;"AM"
